,German,English
0,ich,I
1,sie,she
2,das,the
3,ist,is
4,du,you
5,nicht,not
6,die,the
7,es,it
8,und,and
9,der,the
10,wir,weather
11,was,What
12,zu,to
13,er,he
14,ein,a
15,in,in
16,ja,Yes
17,mir,me
18,mit,with
19,wie,how
20,den,the
21,mich,me
22,auf,on
23,dass,that
24,aber,but
25,eine,one
26,so,so
27,hat,Has
28,hier,here
29,haben,to have
30,für,for
31,sind,are
32,war,was
33,von,from
34,wenn,if
35,dich,you
36,ihr,your
37,nein,no
38,habe,have
39,an,at
40,bin,am
41,noch,still
42,nur,only
43,da,there
44,dir,to you
45,sich,themselves
46,einen,a
47,uns,US
48,hast,have
49,dem,to the
50,kann,can
51,gut,Well
52,auch,even
53,schon,beautiful
54,als,as
55,sein,be
56,mal,times
57,jetzt,now
58,ihn,him
59,dann,then
60,aus,the end
61,meine,my
62,um,around
63,im,in the
64,wird,will
65,mein,my
66,bist,are you
67,doch,but
68,alles,All
69,weiß,White
70,keine,no
71,oder,or
72,nach,after
73,s,s
74,nichts,nothing
75,man,one
76,muss,got to
77,werden,will
78,will,want
79,ihnen,them
80,geht,goes
81,wo,Where
82,etwas,some
83,oh,Oh
84,mehr,more
85,bei,at
86,also,so
87,bitte,You're welcome
88,immer,always
89,hab,have
90,warum,why
91,vor,before
92,los,Come on
93,können,can
94,wieder,again
95,sagen,to say
96,machen,do
97,danke,thanks
98,sehr,very
99,alle,Everyone
100,denn,because
101,mann,man
102,tun,to do
103,ihm,him
104,zum,to the
105,gehen,walk
106,sehen,see
107,vielleicht,perhaps
108,einem,a
109,wer,who
110,ihre,their
111,diese,these
112,euch,you
113,einer,a
114,komm,come over
115,über,above
116,gibt,gives
117,okay,OK
118,wissen,to know
119,deine,yours
120,müssen,have to
121,soll,target
122,werde,will
123,nie,never
124,wirklich,really
125,hey,hey
126,kein,no
127,viel,much
128,weg,path
129,würde,would
130,tut,does
131,am,at the
132,des,of
133,einfach,simple
134,leben,Life
135,hatte,would have
136,zeit,Time
137,weil,because
138,willst,want
